City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,tuktoyaktuk,69.4541,-133.0374,-27.0,69,75,11.32,CA,1670285809
160,naze,28.3667,129.4833,15.51,69,99,7.6,JP,1670285809
161,airai,-8.9266,125.4092,21.74,49,75,0.65,TL,1670285810
162,sambava,-14.2667,50.1667,23.65,85,29,4.4,MG,1670285810
163,leningradskiy,69.3833,178.4167,-27.35,93,17,1.61,RU,1670285811
164,ornskoldsvik,63.2909,18.7153,-3.47,100,27,5.14,SE,1670285811
165,bologoye,57.8799,34.1068,-8.83,84,100,3.41,RU,1670285811
166,castro,-24.7911,-50.0119,18.58,96,91,1.33,BR,1670285581
167,dunedin,-45.8742,170.5036,9.89,79,100,4.02,NZ,1670285734
168,chincha alta,-13.4099,-76.1323,19.33,83,47,1.09,PE,1670285812
169,upala,10.8979,-85.0145,25.64,94,34,1.8,CR,1670285813
170,sri aman,1.2376,111.4621,25.03,94,40,0.0,MY,1670285813
171,seminole,28.7086,-81.2081,23.05,84,20,2.06,US,1670285813
172,aksarka,66.5606,67.7975,-15.86,95,44,3.41,RU,1670285814
173,kununurra,-15.7667,128.7333,31.99,70,65,3.09,AU,1670285814
174,saint-philippe,-21.3585,55.7679,23.77,84,98,4.71,RE,1670285814
175,camopi,3.1655,-52.3158,22.06,95,93,1.17,GF,1670285815
176,nichinan,31.6,131.3667,9.82,76,12,2.4,JP,1670285815
177,sao joao da barra,-21.6403,-41.0511,24.05,85,91,9.72,BR,1670285816
178,el alto,-4.2714,-81.2147,20.81,84,27,6.23,PE,1670285816
179,cidreira,-30.1811,-50.2056,22.12,90,99,3.85,BR,1670285816
180,flin flon,54.7682,-101.865,-28.09,69,40,2.06,CA,1670285817
181,nyrob,60.733,56.7202,-16.45,98,98,1.62,RU,1670285817
182,muskegon,43.3,-86.1334,5.92,66,100,2.57,US,1670285626
183,zhangye,38.9342,100.4517,-7.71,75,97,1.5,CN,1670285817
184,corowa,-36.0333,146.3833,22.54,52,0,2.19,AU,1670285818
185,vaini,-21.2,-175.2,28.09,78,75,5.66,TO,1670285818
186,ha giang,22.8333,104.9833,15.45,87,94,0.42,VN,1670285818
187,namatanai,-3.6667,152.4333,28.55,73,87,2.68,PG,1670285819
188,nome,64.5011,-165.4064,-0.96,80,75,8.75,US,1670285819
189,westport,41.1415,-73.3579,7.68,74,0,1.79,US,1670285819
190,vavuniya,8.7514,80.4971,21.76,87,89,0.94,LK,1670285820
191,ugoofaaru,5.6667,73.0,26.65,80,100,4.6,MV,1670285820
192,peto,20.1333,-88.9167,24.03,64,30,1.52,MX,1670285820
193,bengkulu,-3.8004,102.2655,24.17,89,100,1.15,ID,1670285821
194,weiser,44.251,-116.9693,-1.17,91,83,0.45,US,1670285821
195,edmundston,47.3737,-68.3251,3.13,63,0,7.2,CA,1670285822
196,kumano,34.3442,132.5894,7.51,60,15,4.53,JP,1670285823
197,ialibu,-6.2821,143.9935,14.58,97,100,0.19,PG,1670285825
198,pochutla,15.7432,-96.4661,27.9,68,0,1.65,MX,1670285825
199,chapais,49.7834,-74.8492,-8.12,97,98,1.29,CA,1670285826
200,plouzane,48.3833,-4.6167,3.18,90,51,2.57,FR,1670285826
201,belyy yar,53.6039,91.3903,-27.86,65,40,0.0,RU,1670285828
202,upernavik,72.7868,-56.1549,-2.87,70,32,5.22,GL,1670285829
203,santa cruz del sur,20.7147,-77.9956,23.46,67,0,7.1,CU,1670285829
204,ahipara,-35.1667,173.1667,20.04,69,99,3.57,NZ,1670285830
205,dwarka,22.2394,68.9678,22.55,44,0,5.68,IN,1670285832
206,horta,38.5333,-28.6333,16.68,82,100,8.49,PT,1670285833
